G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
67,2024-03-18,24-061,CHI,,POR,W (+3),1,38:45,9,17,.529,2,6,.333,3,3,1.000,1,0,1,10,1,0,2,2,23,20.6,+12
68,2024-03-21,24-064,CHI,@,HOU,L (-10),1,39:25,13,18,.722,5,6,.833,4,4,1.000,0,2,2,2,3,0,2,2,35,29.8,+1
69,2024-03-23,24-066,CHI,,BOS,L (-11),1,39:58,7,16,.438,0,4,.000,0,0,,0,2,2,4,2,0,1,4,14,8.4,-9
70,2024-03-25,24-068,CHI,,WAS,L (-2),1,33:45,4,9,.444,2,4,.500,2,3,.667,1,1,2,3,0,0,2,3,12,6.8,-13
71,2024-03-27,24-070,CHI,,IND,W (+26),1,33:57,7,11,.636,3,5,.600,0,0,,0,3,3,4,0,2,2,3,17,14.0,+14
72,2024-03-29,24-072,CHI,@,BRK,L (-17),1,31:45,6,9,.667,0,2,.000,4,4,1.000,0,3,3,3,0,0,0,2,16,14.3,-27
73,2024-03-31,24-074,CHI,@,MIN,W (+8),1,35:35,5,9,.556,1,2,.500,2,2,1.000,0,3,3,6,2,0,1,3,13,13.6,+18
74,2024-04-01,24-075,CHI,,ATL,L (-12),1,35:37,7,13,.538,1,5,.200,0,0,,1,2,3,1,1,0,1,2,15,9.9,-10
75,2024-04-05,24-079,CHI,,NYK,W (+8),1,39:25,10,20,.500,3,7,.429,1,2,.500,3,3,6,5,2,0,4,4,24,16.5,+3
76,2024-04-07,24-081,CHI,@,ORL,L (-15),1,35:32,4,7,.571,3,3,1.000,3,4,.750,1,4,5,4,2,2,5,3,14,12.2,-7
,2024-04-09,24-083,CHI,,NYK,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,
,2024-04-11,24-085,CHI,@,DET,W (+22),Inactive,,,,,,,,,,,,,,,,,,,,,
,2024-04-12,24-086,CHI,@,WAS,W (+2),Inactive,,,,,,,,,,,,,,,,,,,,,
,2024-04-14,24-088,CHI,@,NYK,L (-1),Inactive,,,,,,,,,,,,,,,,,,,,,
