G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Home/Away
38.0,2024-01-12,23-360,CHI,,GSW,L (-9),0,16:39,2.0,4.0,0.5,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,6,-0.6,-23.0,Home
39.0,2024-01-13,23-361,CHI,@,SAS,W (+6),0,29:20,8.0,9.0,0.889,3.0,3.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,4.0,1.0,0.0,2.0,4.0,21,18.7,7.0,Home
40.0,2024-01-15,23-363,CHI,@,CLE,L (-18),0,19:13,3.0,7.0,0.429,1.0,2.0,0.5,3.0,3.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,10,8.5,6.0,Home
41.0,2024-01-18,24-001,CHI,@,TOR,W (+6),0,32:02,4.0,9.0,0.444,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,2.0,10,9.0,10.0,Home
42.0,2024-01-20,24-003,CHI,,MEM,W (+29),0,27:55,7.0,10.0,0.7,3.0,5.0,0.6,3.0,3.0,1.0,0.0,6.0,6.0,4.0,1.0,1.0,3.0,1.0,20,18.7,28.0,Home
43.0,2024-01-22,24-005,CHI,@,PHO,L (-2),0,30:09,6.0,11.0,0.545,0.0,2.0,0.0,1.0,2.0,0.5,1.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,13,8.9,-10.0,Home
44.0,2024-01-25,24-008,CHI,@,LAL,L (-9),0,29:31,6.0,11.0,0.545,2.0,5.0,0.4,4.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,18,14.3,-11.0,Home
45.0,2024-01-28,24-011,CHI,@,POR,W (+8),1,32:58,5.0,12.0,0.417,1.0,4.0,0.25,0.0,0.0,,0.0,5.0,5.0,3.0,0.0,3.0,1.0,1.0,11,8.9,1.0,Home
46.0,2024-01-30,24-013,CHI,,TOR,L (-11),1,39:03,8.0,11.0,0.727,4.0,5.0,0.8,1.0,2.0,0.5,1.0,4.0,5.0,2.0,0.0,1.0,4.0,4.0,21,14.5,-10.0,Home
47.0,2024-01-31,24-014,CHI,@,CHO,W (+7),1,38:51,7.0,10.0,0.7,2.0,5.0,0.4,0.0,0.0,,0.0,1.0,1.0,6.0,3.0,1.0,1.0,3.0,16,17.8,18.0,Home
48.0,2024-02-03,24-017,CHI,,SAC,L (-8),1,39:01,7.0,16.0,0.438,3.0,9.0,0.333,1.0,2.0,0.5,1.0,3.0,4.0,5.0,2.0,0.0,2.0,3.0,18,13.1,-15.0,Home
49.0,2024-02-06,24-020,CHI,,MIN,W (+6),0,28:59,3.0,6.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,6,4.2,-9.0,Home
50.0,2024-02-08,24-022,CHI,@,MEM,W (+8),1,27:28,4.0,5.0,0.8,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,10,6.7,-1.0,Home
51.0,2024-02-10,24-024,CHI,@,ORL,L (-6),1,39:25,7.0,12.0,0.583,5.0,8.0,0.625,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,1.0,5.0,19,13.4,1.0,Home
52.0,2024-02-12,24-026,CHI,@,ATL,W (+10),1,38:32,12.0,18.0,0.667,5.0,7.0,0.714,0.0,1.0,0.0,0.0,2.0,2.0,7.0,1.0,1.0,2.0,2.0,29,25.2,13.0,Home
53.0,2024-02-14,24-028,CHI,@,CLE,L (-3),1,33:11,4.0,10.0,0.4,4.0,7.0,0.571,0.0,0.0,,2.0,2.0,4.0,2.0,0.0,0.0,3.0,3.0,12,5.8,-5.0,Home
54.0,2024-02-22,24-036,CHI,,BOS,L (-17),1,40:40,6.0,14.0,0.429,2.0,6.0,0.333,0.0,0.0,,1.0,7.0,8.0,8.0,1.0,0.0,2.0,3.0,14,12.8,-14.0,Home
55.0,2024-02-25,24-039,CHI,@,NOP,W (+8),1,39:08,8.0,15.0,0.533,3.0,6.0,0.5,2.0,2.0,1.0,1.0,2.0,3.0,8.0,3.0,0.0,1.0,1.0,21,22.2,6.0,Home
